 TESTING TRANPOSE TYPE 326514
 Hirata Reference =    2.948184     seconds
 Algorithm         Jeff           Speedup          Best
     392 Loop 423165      5.87231     0.50205     0.87207     3.38067
     393 Loop 523146      1.96814     1.49795     0.87207     3.38067
     394 Loop 623145      3.57227     0.82530     0.87207     3.38067
     395 Loop 523164      1.30408     2.26074     0.87207     3.38067
     396 Loop 623154      3.33228     0.88474     0.87207     3.38067
     397 Loop 425136      5.86035     0.50307     0.87207     3.38067
     398 Loop 426135      5.93640     0.49663     0.87207     3.38067
     399 Loop 524136      2.16016     1.36480     0.87207     3.38067
     400 Loop 624135      3.89221     0.75746     0.87207     3.38067
     401 Loop 526134      1.24402     2.36989     0.87207     3.38067
     402 Loop 625134      3.52417     0.83656     0.87207     3.38067
     403 Loop 425163      6.15247     0.47919     0.87207     3.38067
     404 Loop 426153      6.13245     0.48075     0.87207     3.38067
     405 Loop 524163      1.74414     1.69034     0.87207     3.38067
     406 Loop 624153      4.25232     0.69331     0.87207     3.38067
     407 Loop 526143      1.87207     1.57483     0.87207     3.38067
     408 Loop 625143      4.02832     0.73186     0.87207     3.38067
     409 Loop 342156      1.59607     1.84715     0.87207     3.38067
     410 Loop 342165      1.72412     1.70996     0.87207     3.38067
     411 Loop 352146      1.10803     2.66074     0.87207     3.38067
     412 Loop 362145      1.75610     1.67882     0.87207     3.38067
     413 Loop 352164      1.18811     2.48141     0.87207     3.38067
     414 Loop 362154      1.47205     2.00278     0.87207     3.38067
     415 Loop 432156      5.89233     0.50034     0.87207     3.38067
     416 Loop 432165      6.06836     0.48583     0.87207     3.38067
     417 Loop 532146      1.99207     1.47996     0.87207     3.38067
     418 Loop 632145      3.56030     0.82807     0.87207     3.38067
     419 Loop 532164      1.32410     2.22656     0.87207     3.38067
     420 Loop 632154      3.34021     0.88263     0.87207     3.38067
     421 Loop 452136      6.37244     0.46265     0.87207     3.38067
     422 Loop 462135      8.14050     0.36216     0.87207     3.38067
     423 Loop 542136      3.05615     0.96467     0.87207     3.38067
     424 Loop 642135      6.08838     0.48423     0.87207     3.38067
     425 Loop 562134      1.84412     1.59870     0.87207     3.38067
     426 Loop 652134      3.71631     0.79331     0.87207     3.38067
     427 Loop 452163      6.41638     0.45948     0.87207     3.38067
     428 Loop 462153      7.70850     0.38246     0.87207     3.38067
     429 Loop 542163      2.35620     1.25124     0.87207     3.38067
     430 Loop 642153      5.73633     0.51395     0.87207     3.38067
     431 Loop 562143      2.50012     1.17922     0.87207     3.38067
     432 Loop 652143      4.28027     0.68878     0.87207     3.38067
     433 Loop 345126      1.70813     1.72597     0.87207     3.38067
     434 Loop 346125      2.08008     1.41734     0.87207     3.38067
     435 Loop 354126      1.54407     1.90936     0.87207     3.38067
     436 Loop 364125      2.12012     1.39058     0.87207     3.38067
     437 Loop 356124      1.18408     2.48985     0.87207     3.38067
     438 Loop 365124      1.66003     1.77598     0.87207     3.38067
     439 Loop 435126      6.26428     0.47063     0.87207     3.38067
