jeff@goldstone:~/code/spaghetty/trunk/python/archive/exe> transpose_632541.x
 TESTING TRANPOSE TYPE 632541
 Hirata Reference =    2.248140     seconds
 Algorithm         Jeff           Speedup          Best
     277 Loop 536421      1.24408     1.80707     0.93604     2.40177
     278 Loop 536124      1.74414     1.28897     0.93604     2.40177
     279 Loop 436521      1.31604     1.70826     0.93604     2.40177
     280 Loop 136524      6.23236     0.36072     0.93604     2.40177
     281 Loop 436125      1.51208     1.48678     0.93604     2.40177
     282 Loop 136425      5.10431     0.44044     0.93604     2.40177
     283 Loop 536412      1.48407     1.51485     0.93604     2.40177
     284 Loop 536142      1.57208     1.43004     0.93604     2.40177
     285 Loop 436512      1.38806     1.61963     0.93604     2.40177
     286 Loop 136542      5.35236     0.42003     0.93604     2.40177
     287 Loop 436152      1.49609     1.50267     0.93604     2.40177
     288 Loop 136452      5.29633     0.42447     0.93604     2.40177
     289 Loop 256341      1.00806     2.23017     0.93604     2.40177
     290 Loop 256314      1.34808     1.66766     0.93604     2.40177
     291 Loop 246351      0.94403     2.38143     0.93604     2.40177
     292 Loop 216354      1.94812     1.15400     0.93604     2.40177
     293 Loop 246315      1.19208     1.88590     0.93604     2.40177
     294 Loop 216345      1.66010     1.35422     0.93604     2.40177
     295 Loop 526341      1.15210     1.95134     0.93604     2.40177
     296 Loop 526314      1.52808     1.47122     0.93604     2.40177
     297 Loop 426351      1.44409     1.55678     0.93604     2.40177
     298 Loop 126354      5.82837     0.38572     0.93604     2.40177
     299 Loop 426315      1.40411     1.60111     0.93604     2.40177
     300 Loop 126345      5.07635     0.44287     0.93604     2.40177
     301 Loop 546321      1.41614     1.58752     0.93604     2.40177
     302 Loop 516324      2.82019     0.79716     0.93604     2.40177
     303 Loop 456321      1.41205     1.59211     0.93604     2.40177
     304 Loop 156324      6.43640     0.34929     0.93604     2.40177
     305 Loop 416325      2.24017     1.00356     0.93604     2.40177
     306 Loop 146325      4.99634     0.44996     0.93604     2.40177
     307 Loop 546312      1.82007     1.23520     0.93604     2.40177
     308 Loop 516342      2.16016     1.04073     0.93604     2.40177
     309 Loop 456312      1.78015     1.26289     0.93604     2.40177
     310 Loop 156342      5.68835     0.39522     0.93604     2.40177
     311 Loop 416352      2.14410     1.04852     0.93604     2.40177
     312 Loop 146352      5.33636     0.42129     0.93604     2.40177
     313 Loop 256431      1.10010     2.04358     0.93604     2.40177
     314 Loop 256134      1.61212     1.39452     0.93604     2.40177
     315 Loop 246531      1.03204     2.17834     0.93604     2.40177
     316 Loop 216534      2.10413     1.06844     0.93604     2.40177
     317 Loop 246135      1.44409     1.55678     0.93604     2.40177
     318 Loop 216435      1.76410     1.27438     0.93604     2.40177
     319 Loop 526431      1.24408     1.80707     0.93604     2.40177
     320 Loop 526134      1.80811     1.24337     0.93604     2.40177
     321 Loop 426531      1.34412     1.67258     0.93604     2.40177
     322 Loop 126534      6.22437     0.36118     0.93604     2.40177
     323 Loop 426135      1.62805     1.38088     0.93604     2.40177
     324 Loop 126435      5.18829     0.43331     0.93604     2.40177
     325 Loop 546231      1.47205     1.52722     0.93604     2.40177
     326 Loop 516234      2.96820     0.75741     0.93604     2.40177
     327 Loop 456231      1.49207     1.50673     0.93604     2.40177
     328 Loop 156234      6.62439     0.33937     0.93604     2.40177
     329 Loop 416235      2.33618     0.96231     0.93604     2.40177
     330 Loop 146235      5.25635     0.42770     0.93604     2.40177
     331 Loop 546132      2.41223     0.93198     0.93604     2.40177
     332 Loop 516432      2.58411     0.86999     0.93604     2.40177
     333 Loop 456132      2.35608     0.95419     0.93604     2.40177
     334 Loop 156432      5.43237     0.41384     0.93604     2.40177
     335 Loop 416532      2.53613     0.88644     0.93604     2.40177
